date,weight_lbs,exer,food,weight_kgs
2024-11-19,160.4,1,5,72.7561568
2024-11-20,159.2,1,6,72.2118464
2024-11-21,159.0,0,5,72.121128
2024-11-22,159.2,1,6,72.2118464
2024-11-23,159.0,0,5,72.121128
2024-11-24,159.0,1,4,72.121128
2024-11-25,158.8,1,2,72.0304096
2024-11-26,159.0,1,5,72.121128
2024-11-27,159.0,0,5,72.121128
2024-11-28,157.0,1,6,71.213944
2024-11-29,161.0,1,2,73.028312
2024-11-30,159.0,0,4,72.121128
2024-12-01,154.8,1,8,70.21604160000001
2024-12-02,156.8,0,6,71.1232256
2024-12-03,159.6,1,5,72.3932832
2024-12-04,158.0,0,5,71.667536
2024-12-05,159.2,1,5,72.2118464
2024-12-06,159.0,1,5,72.121128
2024-12-07,158.0,1,5,71.667536
2024-12-08,159.0,1,4,72.121128
2024-12-09,158.4,1,4,71.8489728
2024-12-10,159.6,1,5,72.3932832
2024-12-11,158.0,0,5,71.667536
2024-12-12,154.8,1,7,70.21604160000001
2024-12-13,154.2,1,7,69.9438864
2024-12-14,155.6,1,7,70.5789152
2024-12-15,156.4,0,3,70.9417888
2024-12-16,155.8,1,7,70.6696336
2024-12-17,156.0,1,7,70.760352
2024-12-18,154.8,1,7,70.21604160000001
2024-12-19,154.8,1,7,70.21604160000001
2024-12-20,155.4,1,7,70.4881968
2024-12-21,156.0,0,4,70.760352
2024-12-22,155.2,1,4,70.3974784
2024-12-23,155.6,0,4,70.5789152
2024-12-24,156.4,1,5,70.9417888
2024-12-25,157.4,1,2,71.3953808
2024-12-26,156.0,1,4,70.760352
2024-12-27,156.0,1,4,70.760352
2024-12-28,156.4,1,3,70.9417888
2024-12-29,157.4,0,3,71.3953808
2024-12-30,158.6,1,1,71.9396912
2024-12-31,158.8,1,2,72.0304096
2025-01-01,161.4,1,1,73.2097488
2025-01-02,160.0,1,1,72.57472
2025-01-03,158.8,1,6,72.0304096
2025-01-04,160.6,1,1,72.8468752
2025-01-05,158.6,1,1,71.9396912
2025-01-06,157.6,1,1,71.4860992
2025-01-07,160.0,1,1,72.57472
2025-01-08,161.4,1,1,73.2097488
2025-01-09,159.2,1,8,72.2118464
2025-01-10,158.4,1,6,71.8489728
2025-01-11,159.2,1,2,72.2118464
2025-01-12,160.0,0,1,72.57472
2025-01-13,161.2,0,1,73.1190304
2025-01-14,160.2,1,5,72.6654384
2025-01-15,161.2,0,1,73.1190304
2025-01-16,161.2,0,1,73.1190304
2025-01-17,160.0,0,6,72.57472
2025-01-18,159.2,1,6,72.2118464
2025-01-19,158.8,0,3,72.0304096
2025-01-20,159.2,1,6,72.2118464
2025-01-21,159.4,1,5,72.3025648
2025-01-22,158.4,1,6,71.8489728
2025-01-23,159.6,1,5,72.3932832
2025-01-24,157.4,1,5,71.3953808
2025-01-25,158.8,1,6,72.0304096
2025-01-26,160.0,0,3,72.57472
2025-01-27,160.0,0,4,72.57472
2025-01-28,159.0,0,4,72.121128
2025-01-29,158.8,0,4,72.0304096
2025-01-30,157.6,1,6,71.4860992
2025-01-31,158.8,0,3,72.0304096
2025-02-01,157.8,0,6,71.5768176
2025-02-02,160.0,0,2,72.57472
2025-02-03,159.8,0,4,72.4840016
2025-02-04,160.0,1,3,72.57472
2025-02-05,158.8,1,6,72.0304096
2025-02-06,158.8,0,5,72.0304096
2025-02-07,158.8,1,3,72.0304096
2025-02-08,160.0,0,2,72.57472
2025-02-09,158.6,1,5,71.9396912
2025-02-10,158.8,0,6,72.0304096
2025-02-11,159.0,1,5,72.121128
2025-02-12,158.6,1,5,71.9396912
2025-02-13,158.0,0,5,71.667536
2025-02-14,158.6,1,5,71.9396912
2025-02-15,159.8,1,1,72.4840016
2025-02-16,158.8,1,6,72.0304096
2025-02-17,158.8,0,5,72.0304096
2025-02-18,157.8,1,6,71.5768176
2025-02-19,158.6,1,6,71.9396912
2025-02-20,158.8,1,5,72.0304096
2025-02-21,158.2,0,5,71.7582544
2025-02-22,156.6,0,5,71.0325072
2025-02-23,157.8,1,4,71.5768176
2025-02-24,157.6,1,5,71.4860992
2025-02-25,159.8,0,5,72.4840016
2025-02-26,157.2,1,5,71.3046624
2025-02-27,157.2,1,5,71.3046624
2025-02-28,155.6,1,5,70.5789152
2025-03-01,158.2,0,5,71.7582544
2025-03-02,159.0,1,3,72.121128
2025-03-03,158.4,1,4,71.8489728
2025-03-04,156.4,0,4,70.9417888
2025-03-05,156.4,1,6,70.9417888
2025-03-06,156.6,1,5,71.0325072
2025-03-07,156.6,1,5,71.0325072
2025-03-08,156.8,1,5,71.1232256
2025-03-09,158.0,1,5,71.667536
2025-03-10,158.2,0,3,71.7582544
2025-03-11,156.4,1,6,70.9417888
2025-03-12,154.8,1,7,70.21604160000001
2025-03-13,155.8,1,5,70.6696336
2025-03-14,154.6,1,5,70.1253232
2025-03-15,155.0,1,4,70.30676
2025-03-16,156.8,0,3,71.1232256
2025-03-17,157.2,0,4,71.3046624
2025-03-18,155.0,0,4,70.30676
2025-03-19,154.6,0,5,70.1253232
2025-03-20,154.2,1,6,69.9438864
2025-03-21,154.8,0,3,70.21604160000001
2025-03-22,156.0,1,2,70.760352
2025-03-23,157.0,0,2,71.213944
2025-03-24,156.4,0,2,70.9417888
2025-03-25,154.8,0,1,70.21604160000001
2025-03-26,156.0,1,5,70.760352
2025-03-27,155.0,1,5,70.30676
2025-03-28,156.8,0,5,71.1232256
2025-03-29,154.8,1,5,70.21604160000001
2025-03-30,157.0,0,3,71.213944
2025-03-31,157.0,0,5,71.213944
2025-04-01,154.4,0,5,70.0346048
2025-04-02,154.6,1,6,70.1253232
2025-04-03,154.8,1,7,70.21604160000001
2025-04-04,154.6,1,6,70.1253232
2025-04-05,154.4,1,5,70.0346048
2025-04-06,155.4,1,4,70.4881968
2025-04-07,155.0,1,4,70.30676
2025-04-08,155.0,1,7,70.30676
2025-04-09,153.6,1,7,69.6717312
2025-04-10,153.4,0,7,69.5810128
2025-04-11,152.4,1,8,69.1274208
2025-04-12,154.2,1,3,69.9438864
2025-04-13,153.8,1,7,69.76244960000001
2025-04-14,153.8,0,3,69.76244960000001
2025-04-15,153.8,1,4,69.76244960000001
2025-04-16,152.8,0,6,69.30885760000001
2025-04-17,153.6,1,7,69.6717312
2025-04-18,153.2,1,8,69.4902944
2025-04-19,153.6,1,2,69.6717312
2025-04-20,155.0,1,2,70.30676
2025-04-21,157.6,0,1,71.4860992
2025-04-22,154.8,1,7,70.21604160000001
2025-04-23,154.2,1,6,69.9438864
2025-04-24,153.8,1,7,69.76244960000001
2025-04-25,154.2,1,3,69.9438864
2025-04-26,153.8,1,6,69.76244960000001
2025-04-27,155.0,0,5,70.30676
2025-04-28,155.2,1,2,70.3974784
2025-04-29,154.6,0,6,70.1253232
2025-04-30,154.4,1,7,70.0346048
2025-05-01,153.6,1,7,69.6717312
2025-05-02,154.8,0,6,70.21604160000001
2025-05-03,153.8,0,4,69.76244960000001
2025-05-04,154.6,1,3,70.1253232
2025-05-05,155.6,0,4,70.5789152
2025-05-06,155.4,1,7,70.4881968
2025-05-07,156.0,1,6,70.760352
2025-05-08,155.0,1,6,70.30676
2025-05-09,153.6,1,7,69.6717312
2025-05-10,154.2,1,5,69.9438864
2025-05-11,156.0,1,2,70.760352
2025-05-12,155.6,1,7,70.5789152
2025-05-13,155.4,1,6,70.4881968
2025-05-14,154.8,0,7,70.21604160000001
2025-05-15,153.6,0,6,69.6717312
2025-05-16,153.6,1,5,69.6717312
2025-05-17,154.4,1,5,70.0346048
2025-05-18,153.8,0,5,69.76244960000001
2025-05-19,153.6,0,5,69.6717312
2025-05-20,155.6,1,2,70.5789152
2025-05-21,155.4,1,3,70.4881968
2025-05-22,154.6,0,5,70.1253232
2025-05-23,153.8,0,2,69.76244960000001
2025-05-24,156.0,0,2,70.760352
2025-05-25,156.6,0,2,71.0325072
2025-05-26,154.8,0,2,70.21604160000001
2025-05-27,155.4,0,5,70.4881968
2025-05-28,153.8,1,8,69.76244960000001
2025-05-29,154.8,1,7,70.21604160000001
2025-05-30,156.0,0,4,70.760352
2025-05-31,155.4,1,5,70.4881968
